"N","Camisa","Nome","InStat Index","Partidas jogadas","Minutos jogados","Escalações no time titular","Substituído","Substituindo","Gols","Assistências","Impedimentos","Cartões amarelos","Cartões vermelhos","Chutes","Chutes/gol","Pênalti","Pênaltis convertidos","Cobranças de pênalti convertidas, %","Passes","% de precisão dos passes","Passes chave","Cruzamentos","% de precisão nos cruzamentos","Bolas perdidas","Bolas perdidas / no próprio campo","Bolas recuperadas","Bolas recuperadas no campo do adversário","xG (Gols esperados)","Disputas","% disputas ganhas","Disputas no ataque","Disputas aéreas","% disputas aéreas ganhas","Dribles","Desarmes","Interceptações","Rebotes"
"17",22,"Carles Gil","274",10,"773","8","3","2","2","4","1","0","0","15","6","2","1","50%","556","79%","20","19","37%","88","12","5","2","2.3","112","38%","73","10","10%","49","24","16","41"
"18",17,"B. Rodríguez","274",21,"1726","20","9","1","3","6","12","0","0","44","20","1","1","100%","629","72%","39","47","13%","216","19","25","16","4.2","349","37%","284","24","21%","181","35","31","79"
"19",17,"Gadi Kinda","273",21,"1624","17","10","4","6","2","3","6","1","39","12","0","0","0","702","80%","24","30","10%","139","12","54","21","5.9","278","46%","165","21","29%","96","66","37","105"
"20",7,"A. Elis","273",6,"405","4","2","2","4","3","3","0","1","14","9","1","1","100%","93","66%","9","10","10%","55","8","8","2","2.9","101","36%","82","30","40%","34","11","9","11"
"21",2,"Reggie Jacob Cannon","273",5,"485","5","0","0","0","1","0","1","0","3","1","0","0","0","247","89%","7","16","56%","25","7","13","4","0.1","62","52%","36","10","40%","18","9","11","34"
"22",4,"Jonathan Mensah","272",28,"2759","28","0","0","0","1","1","5","0","11","5","0","0","0","1716","90%","9","0","0","82","27","251","20","1.39","303","68%","57","172","68%","7","37","243","181"
"23",3,"Anton Tinnerholm","272",26,"2479","25","3","1","4","5","5","5","0","23","9","0","0","0","1533","80%","25","90","27%","170","31","138","36","1.49","288","56%","115","44","68%","53","97","115","167"
"24",7,"Pablo Daniel Piatti","271",19,"1553","18","15","1","4","2","1","4","0","34","16","0","0","0","844","82%","21","44","43%","152","32","44","18","2.8","343","37%","191","28","21%","89","101","54","69"
"25",8,"Saphir Sliti Taider","271",12,"1133","12","1","0","4","5","2","1","0","16","5","3","3","100%","722","86%","16","16","25%","85","22","18","6","3","133","41%","76","13","31%","31","30","22","55"
"26",7,"Johnny Russell","271",24,"1922","20","10","4","6","4","0","4","0","58","23","1","1","100%","768","70%","21","48","23%","198","20","44","22","7","392","44%","279","74","54%","117","72","60","95"
"27",4,"Maxime Chanot","271",23,"2203","23","1","0","1","0","1","4","1","16","6","0","0","0","1143","88%","6","2","0","74","25","212","14","2.3","292","75%","71","137","77%","11","56","205","143"
"28",10,"C. Espinoza","270",26,"2183","25","16","1","4","9","3","5","0","62","21","1","0","0","1095","78%","39","96","23%","225","48","60","20","2.6","377","37%","278","38","29%","144","54","62","130"
"29",3,"Fontas","269",3,"287","3","0","0","1","0","0","0","0","1","1","0","0","0","178","92%","0","0","0","9","2","25","5","0.32","21","57%","5","3","67%","1","4","20","21"
"30",8,"Graham Zusi","269",16,"1436","15","1","1","1","1","0","0","0","23","4","0","0","0","956","85%","16","41","24%","87","13","105","21","1.12","184","53%","55","44","43%","24","51","90","109"
"31",6,"Ilie","269",18,"1696","16","1","2","1","1","0","5","0","10","5","2","2","100%","992","84%","3","4","0","85","26","135","45","1.46","222","57%","61","67","63%","18","67","126","150"
"32",28,"Y. Gómez","269",23,"2138","23","3","0","2","1","0","5","0","13","6","0","0","0","1222","85%","4","1","0","88","38","208","26","2.1","298","71%","60","92","76%","19","58","169","157"
"33",18,"K. Leerdam","268",25,"1784","20","15","5","3","1","2","2","0","19","3","0","0","0","1005","83%","21","36","25%","112","30","72","14","1.84","173","51%","76","48","54%","21","41","86","86"
"34",10,"A. Ricaurte","268",16,"1347","15","8","1","1","1","0","2","0","19","7","0","0","0","947","83%","41","12","58%","134","29","46","15","1.14","242","49%","122","20","30%","53","76","44","93"
"35",21,"Younes Namli","268",18,"1399","17","14","1","2","3","1","3","0","27","13","0","0","0","625","85%","18","21","33%","97","16","34","15","1.08","214","52%","150","12","33%","85","24","33","70"
"36",11,"J. Cifuentes","268",20,"1230","13","8","7","1","2","0","4","0","32","9","0","0","0","728","84%","21","9","44%","103","20","44","18","1.86","273","50%","139","55","44%","56","78","58","81"
"37",4,"E. Segura","267",25,"2329","24","2","1","2","0","0","3","0","14","6","0","0","0","1556","87%","5","4","0","86","34","233","31","2.4","306","62%","59","115","60%","7","87","182","227"
"38",8,"Diego Hernan Valeri","265",27,"2204","22","12","5","9","8","2","2","0","57","27","5","5","100%","1160","76%","43","41","19%","263","38","34","9","7","369","36%","252","76","28%","81","69","58","100"
"39",12,"R. Hollingshead","265",22,"2104","21","1","1","4","0","2","3","0","31","14","1","1","100%","1014","84%","12","26","27%","144","39","149","35","4.1","327","59%","148","99","63%","66","82","138","119"
"40",14,"Mark Anthony Kaye","265",19,"1399","18","11","1","3","4","2","1","1","16","4","0","0","0","916","84%","21","11","0","105","17","80","25","2.4","248","54%","112","59","61%","38","67","66","107"
"41",8,"Jan Gregus","264",24,"2300","24","1","0","1","6","0","2","1","48","14","1","1","100%","1439","87%","7","15","47%","111","24","101","31","2.1","236","51%","98","41","54%","24","77","91","177"
"42",25,"Antonio Carlos","264",26,"2440","24","0","2","1","1","1","5","0","8","3","2","2","100%","1138","87%","4","2","0","88","25","201","22","1.9","303","71%","47","132","70%","10","41","186","102"
"43",7,"Cristian Roldan","264",27,"2533","26","2","1","2","5","4","1","0","28","11","0","0","0","1401","81%","33","62","27%","212","43","120","32","4.3","453","52%","259","116","52%","71","103","124","170"
"44",2,"Ruan Gregorio Ruan","264",26,"2219","23","7","3","0","3","6","7","1","9","5","0","0","0","1057","83%","24","70","33%","155","36","95","8","0.82","261","57%","111","35","43%","70","68","96","112"
"45",27,"Gianluca Busio","264",22,"1571","17","7","5","2","4","2","5","0","43","13","1","1","100%","760","83%","9","9","22%","113","20","66","27","2.9","260","48%","125","47","49%","43","68","63","86"
"46",10,"L. Zelarrayán","263",21,"1616","17","9","4","8","3","0","2","0","42","15","2","1","51%","716","81%","22","34","38%","196","30","22","8","4.2","365","39%","276","32","34%","129","46","32","66"
"47",14,"Brent Kallman","263",4,"294","3","0","1","0","0","0","0","0","2","2","0","0","0","110","85%","0","0","0","8","2","26","4","0.35","32","69%","3","14","86%","1","4","30","19"
"48",3,"X. Arreaga","263",15,"1330","14","2","1","0","1","0","4","0","3","1","0","0","0","760","92%","0","0","0","33","11","111","7","0.12","160","71%","25","52","81%","12","47","90","65"
"49",22,"Richie Laryea","263",22,"1671","17","9","5","4","3","4","2","0","15","6","0","0","0","779","86%","9","24","29%","111","28","86","18","1.1","239","52%","120","24","42%","64","59","79","94"
"50",8,"Artur","263",27,"2485","25","4","2","3","2","3","3","0","15","9","0","0","0","1479","90%","8","6","0","106","27","135","40","2","365","58%","108","56","52%","30","144","116","136"
"51",20,"E. Atuesta","263",20,"1727","17","3","3","2","2","1","3","0","36","6","1","1","100%","1386","86%","24","12","8%","149","27","100","33","3.6","327","48%","160","34","50%","76","81","100","151"
"52",4,"Bragança","263",12,"1133","12","3","0","1","2","0","6","0","10","2","1","1","100%","747","83%","7","34","38%","78","15","82","14","0.98","151","65%","38","48","52%","19","41","68","64"
"53",10,"M. Pereyra","262",22,"1697","20","16","2","3","5","1","7","1","16","6","1","1","100%","996","84%","35","8","0","150","25","36","23","1.6","280","47%","183","32","31%","66","47","34","90"
"54",17,"Robin Lod","262",26,"2201","24","10","2","10","4","7","3","0","49","22","0","0","0","702","81%","24","20","25%","177","31","68","19","7","362","42%","240","65","29%","72","71","61","96"
"55",28,"I. Mitri<U+021B>a","262",14,"907","10","8","4","4","2","0","0","0","24","9","0","0","0","340","81%","8","1","0","77","8","17","6","1.83","158","46%","114","9","22%","58","24","13","40"
"56",10,"Jamiro Monteiro","262",25,"2399","25","3","0","3","4","1","6","0","39","16","1","1","100%","1299","84%","28","29","31%","167","28","78","35","4.2","379","45%","191","13","31%","90","115","71","112"
"57",4,"M. McKenzie","262",25,"2460","25","0","0","2","1","0","3","0","11","4","0","0","0","1101","86%","2","1","100%","68","25","222","19","2.6","346","68%","58","117","62%","18","75","174","149"
"58",23,"Donovan Pines","262",16,"1488","15","0","1","3","0","2","0","0","11","6","0","0","0","678","84%","2","1","0","69","30","141","15","2.7","274","78%","67","101","78%","14","50","128","90"
"59",15,"M. Figueroa","261",20,"1849","19","0","1","2","0","0","7","0","15","3","0","0","0","1213","88%","3","6","33%","77","15","171","16","1.87","286","66%","66","106","64%","22","68","164","127"
"60",25,"Bill Tuiloma","261",14,"909","9","0","5","1","1","0","0","0","10","4","0","0","0","420","83%","4","1","0","40","11","68","6","1.05","124","69%","30","54","74%","11","14","78","41"
"61",33,"Joevin Jones","261",18,"1167","14","12","4","2","3","0","1","0","17","6","0","0","0","578","88%","9","20","25%","75","24","44","10","2.1","189","48%","125","26","39%","65","25","37","58"
"62",6,"Alhassan Abubakar","261",18,"1725","18","1","0","1","0","1","6","0","3","1","0","0","0","971","91%","0","0","0","40","20","195","19","0.43","217","66%","31","97","68%","4","42","151","117"
"63",5,"A. Trusty","261",8,"577","5","0","3","0","1","0","0","0","3","1","0","0","0","342","89%","1","0","0","22","11","46","4","0.9","61","62%","13","21","67%","3","15","42","39"
"64",26,"Jaylin Lindsey","261",14,"1362","13","0","1","0","2","1","1","0","6","0","0","0","0","779","86%","4","31","26%","68","20","99","28","0.44","167","68%","62","52","69%","31","39","73","94"
"65",8,"J. Martínez","261",17,"1447","17","10","0","0","2","0","7","0","23","4","0","0","0","760","85%","3","6","33%","89","22","102","32","0.61","266","59%","99","47","62%","50","75","100","151"
"66",21,"D. Chará","260",25,"2475","25","1","0","1","5","1","9","0","3","1","1","1","100%","1415","91%","7","8","50%","93","28","146","35","0.44","343","58%","127","24","54%","61","127","132","189"
"67",25,"Walker Zimmerman","260",25,"2416","25","1","0","3","0","0","1","0","18","10","0","0","0","1136","84%","5","2","50%","106","29","210","21","2.8","316","69%","86","133","70%","12","45","179","154"
"68",30,"M. Silva","259",16,"1479","16","2","0","0","1","0","4","1","8","5","0","0","0","695","89%","2","0","0","38","13","125","10","0.95","206","64%","51","86","65%","10","39","95","105"
"69",10,"K. Acosta","259",16,"1305","15","7","1","2","1","0","5","0","24","12","0","0","0","520","86%","10","8","13%","71","16","47","19","2.1","160","54%","85","28","54%","28","35","35","82"
"70",11,"Valeri Qazaishvili","259",17,"1025","11","8","6","4","2","0","0","0","38","17","0","0","0","370","91%","4","5","0","64","16","28","7","4.4","187","48%","132","15","27%","66","30","20","48"
"71",22,"Aaron Herrera","259",21,"2015","21","1","0","0","1","0","7","0","15","2","0","0","0","1161","82%","20","70","27%","152","33","172","29","0.8","303","59%","135","43","40%","72","63","126","154"
"72",15,"O. Mbaizo","259",14,"1134","12","4","2","0","1","3","4","0","4","3","0","0","0","712","82%","8","43","40%","90","22","62","19","0.15","169","53%","64","37","41%","30","41","50","78"
"73",3,"Reto Ziegler","258",20,"1660","17","2","3","2","1","1","3","0","7","5","3","3","100%","1065","87%","7","4","75%","74","32","106","12","1.72","127","62%","14","49","69%","1","26","106","88"
"74",6,"O. Alonso","258",16,"1282","14","3","2","0","0","0","4","0","8","2","1","1","100%","673","93%","1","7","57%","33","10","91","23","0.22","180","58%","70","22","55%","29","58","69","100"
"75",24,"Matt Hedges","258",21,"1892","20","2","1","0","0","0","0","0","4","1","1","1","100%","1111","89%","2","1","100%","75","32","163","12","0.54","219","65%","42","89","61%","14","47","168","116"
"76",3,"Josh Williams","258",16,"1519","15","0","1","0","0","0","1","0","4","3","0","0","0","762","90%","3","0","0","39","9","120","24","0.79","182","62%","32","97","58%","10","19","101","84"
"77",19,"Jesus Medina","258",25,"1880","21","17","4","7","3","6","4","0","42","24","2","2","100%","805","81%","23","22","36%","165","30","36","12","7","351","35%","237","34","21%","91","64","65","100"
"78",27,"Kai Wagner","258",17,"1579","17","4","0","1","2","0","2","0","4","1","0","0","0","840","80%","14","55","16%","105","23","105","32","0.15","185","64%","40","64","64%","15","62","87","100"
"79",14,"Bryan Reynolds","258",19,"1604","16","1","3","0","3","0","2","0","4","2","0","0","0","815","85%","18","47","34%","109","32","94","24","0.22","256","54%","121","55","60%","65","50","74","88"
"80",7,"Latif Blessing","258",24,"2142","21","2","3","2","2","3","4","0","19","10","1","1","100%","1129","87%","9","13","38%","128","34","123","39","3.1","384","53%","178","66","47%","91","99","128","159"
"81",26,"Cole Bassett","258",15,"1133","13","6","2","5","5","1","1","0","22","11","0","0","0","497","85%","18","14","14%","89","19","30","6","3.1","179","37%","118","37","35%","44","32","29","49"
"82",31,"Hassani Dotson Stephenson","258",24,"1748","16","3","8","1","2","0","2","0","27","9","0","0","0","848","84%","7","16","37%","115","24","112","38","1.71","322","53%","134","58","57%","42","89","90","134"
"83",4,"O. Alanís","257",17,"1596","17","2","0","2","0","0","1","0","14","4","1","0","0","1032","90%","5","0","0","68","23","153","24","1.12","220","60%","57","71","56%","22","43","101","97"
"84",9,"Raul Ruidiaz","257",22,"2015","22","6","0","14","4","13","2","0","70","28","1","1","100%","455","87%","11","4","25%","130","19","19","10","11","213","31%","171","58","29%","37","21","17","58"
"85",6,"Robin Jansson","257",28,"2776","28","2","0","0","1","0","4","0","5","1","1","1","100%","1198","91%","2","1","0","61","25","221","18","0.52","198","73%","32","72","60%","5","41","201","138"
"86",19,"Romain Metanire","257",23,"2127","23","3","0","0","3","0","5","1","5","2","0","0","0","1292","80%","13","100","31%","184","37","134","32","0.25","296","58%","113","58","59%","58","75","118","160"
"87",14,"Nick Hagglund","257",11,"801","8","2","3","1","0","0","2","0","10","4","0","0","0","494","85%","0","4","25%","40","10","73","8","1.77","141","70%","37","77","70%","9","14","61","58"
"88",4,"J. Aja","257",16,"1448","15","2","1","1","2","2","6","0","7","4","0","0","0","547","81%","5","1","100%","64","25","122","13","1.03","207","66%","43","83","64%","1","55","108","89"
"89",9,"Christopher Mueller","257",28,"2002","23","22","5","10","6","4","0","0","38","18","0","0","0","762","82%","30","28","36%","160","33","47","23","4.8","306","41%","209","45","47%","77","51","56","91"
"90",4,"David Romney","257",26,"2539","26","0","0","1","1","0","1","0","8","4","0","0","0","1199","87%","2","4","50%","82","32","182","17","1.01","220","68%","36","118","64%","0","34","166","141"
"91",30,"Eryk Williamson","257",26,"1929","22","13","4","3","4","2","8","0","19","6","0","0","0","817","87%","12","11","18%","128","44","79","22","2.3","310","53%","171","37","59%","105","69","106","113"
"92",55,"K. Parks","257",26,"1989","21","13","5","3","0","1","5","0","40","20","0","0","0","1097","86%","14","12","17%","122","18","88","26","4.5","306","58%","140","74","69%","47","85","76","116"
"93",25,"Harrison Afful","256",26,"2453","25","1","1","1","3","4","5","0","11","3","0","0","0","1679","82%","34","91","26%","164","36","141","24","0.4","272","57%","81","59","56%","31","52","167","138"
"94",8,"Alexander Ring","256",26,"2525","26","3","0","4","4","12","7","0","28","10","0","0","0","1426","86%","20","5","60%","182","50","124","48","2.5","383","47%","132","48","54%","34","132","150","155"
"95",10,"G. Martínez","256",7,"646","7","3","0","2","1","2","1","0","17","6","0","0","0","315","73%","9","20","20%","87","10","8","4","0.87","131","44%","107","9","33%","43","15","5","31"
"96",23,"Y. Chará","256",24,"1535","15","12","9","4","3","4","0","0","27","15","0","0","0","731","88%","18","25","28%","104","30","45","12","3.4","232","48%","167","27","44%","66","41","38","97"
"97",5,"Thiago Santos","256",22,"1906","21","9","1","0","0","0","9","0","6","0","0","0","0","1051","84%","12","2","0","117","43","154","34","0.64","440","59%","142","102","72%","58","128","119","138"
"98",21,"Bakaye Dibassy","256",14,"1206","13","1","1","2","0","0","3","0","7","2","0","0","0","519","80%","1","14","21%","62","26","102","10","1.26","142","61%","28","40","55%","2","27","96","77"
"99",10,"Hany Mukhtar","256",18,"1442","16","11","2","5","4","4","0","0","39","14","2","1","50%","601","83%","16","8","25%","150","35","27","11","4.8","299","40%","202","46","26%","70","50","27","56"
"100",8,"B. Acosta","256",11,"784","10","7","1","0","2","0","2","1","16","8","0","0","0","461","88%","6","11","36%","47","9","31","7","1.12","113","57%","54","24","67%","21","25","34","49"
"101",77,"Chase Gasper","256",24,"2195","22","0","2","1","1","0","7","0","23","7","1","1","100%","1092","82%","8","55","22%","144","49","140","23","0.83","320","65%","100","66","70%","45","94","132","122"
"102",6,"Pablo Enrique Ruiz","256",19,"1485","16","10","3","1","1","0","4","0","36","9","0","0","0","862","85%","6","10","10%","89","20","87","34","1.52","223","57%","81","16","44%","33","98","76","116"
"103",12,"Miles Robinson","256",17,"1512","16","3","1","0","0","1","6","0","6","1","0","0","0","1002","91%","0","2","0","45","20","142","14","0.8100000000000001","182","75%","44","68","69%","14","36","108","76"
"104",12,"D. Palacios","256",18,"1467","17","10","1","0","1","1","3","0","6","1","0","0","0","962","84%","16","55","16%","100","20","123","29","0.13","259","59%","76","42","50%","31","80","91","103"
"105",22,"B. Aaronson","256",26,"2291","26","17","0","4","4","4","0","0","35","20","0","0","0","625","82%","23","18","17%","174","29","55","21","5.4","426","36%","281","60","33%","113","80","66","100"
"106",3,"Drew Moor","255",8,"534","5","0","3","1","0","0","2","0","5","3","0","0","0","313","94%","0","0","0","9","2","37","2","0.6899999999999999","59","59%","8","20","65%","0","7","31","31"
"107",4,"Gustav Svensson","255",15,"1192","12","5","3","1","0","0","0","0","11","4","0","0","0","744","92%","2","3","34%","42","16","86","35","1.26","171","55%","50","61","57%","6","54","79","77"
"108",15,"M. Boxall","255",25,"2421","25","0","0","0","0","1","5","0","9","3","0","0","0","860","88%","1","0","0","59","22","194","21","1.3","237","65%","35","65","66%","6","77","204","128"
"109",20,"Anibal Godoy","255",21,"1651","19","8","2","1","0","0","4","0","21","8","0","0","0","1000","93%","3","3","66%","64","13","102","29","1.06","254","59%","108","43","70%","44","65","78","137"
"110",7,"Pedro Santos","255",26,"2367","26","10","0","8","7","1","5","0","56","20","3","3","100%","987","72%","38","59","27%","243","40","85","35","6","424","41%","252","63","29%","84","102","76","152"
"111",6,"D. Nagbe","255",19,"1678","18","6","1","2","0","0","1","0","7","5","0","0","0","962","96%","0","1","100%","31","15","73","29","1.1","188","61%","95","19","58%","52","38","63","107"
"112",18,"Felipe","255",7,"705","7","0","0","0","1","0","4","0","10","3","0","0","0","395","88%","7","6","17%","31","8","30","7","0.66","88","51%","29","13","46%","5","41","29","33"
"113",10,"Medran","255",23,"2139","23","8","0","2","3","1","5","0","38","17","1","0","0","1393","82%","38","27","30%","175","40","83","32","2.5","333","47%","168","46","30%","74","76","92","184"
"114",96,"Auro","255",20,"1806","19","4","1","0","0","1","5","0","5","3","0","0","0","1361","86%","18","55","29%","124","33","105","26","0.33","201","58%","74","27","59%","39","57","99","142"
"115",5,"Nouhou Tolo","255",27,"1878","21","14","6","0","1","1","1","0","11","3","0","0","0","1081","86%","15","43","26%","113","34","121","20","0.8100000000000001","293","64%","104","72","65%","40","73","134","105"
"116",37,"Guram Kashia","254",8,"734","8","2","0","0","0","0","1","0","5","2","0","0","0","500","88%","3","1","0","25","12","78","12","0.84","116","66%","15","43","72%","2","38","65","63"
"117",4,"Bressan","254",20,"1510","13","0","7","0","1","0","5","0","4","2","1","1","100%","895","91%","3","3","67%","45","18","136","13","0.29","172","59%","25","57","67%","4","39","123","99"
"118",22,"Ronald Matarrita","254",24,"2113","22","10","2","0","2","2","2","0","16","3","0","0","0","1328","81%","32","61","23%","127","32","119","26","0.48","316","55%","108","43","46%","44","123","131","142"
"119",30,"G. Giménez","254",18,"1706","17","0","1","0","3","1","2","0","20","8","0","0","0","932","89%","9","5","60%","79","16","120","42","2.2","245","54%","86","46","48%","34","66","118","140"
"120",7,"Gustavo Leonardo Bou","254",23,"1887","19","5","4","8","2","22","1","0","84","32","0","0","0","636","71%","31","27","18%","245","26","28","21","7","335","36%","261","34","15%","112","35","40","66"
"121",6,"A. Callens","254",25,"2439","25","3","0","2","0","0","7","0","9","3","0","0","0","1315","89%","2","0","0","66","24","204","29","1.61","305","66%","61","122","61%","12","71","165","136"
"122",27,"Shane Edward O'Neill","254",23,"1796","18","5","5","1","0","0","4","0","2","1","0","0","0","851","90%","3","2","0","55","21","128","12","0.18","192","66%","32","66","62%","12","36","93","93"
"123",93,"Judson Silva Tavares","254",24,"2068","23","10","1","0","0","0","5","0","15","3","0","0","0","1227","91%","0","4","25%","70","27","160","34","0.74","407","58%","70","60","53%","14","186","122","155"
"124",36,"Luis Martins","253",13,"985","10","3","3","0","1","0","1","0","11","3","0","0","0","664","79%","6","51","16%","79","10","61","15","0.23","122","52%","31","27","37%","14","38","57","63"
"125",28,"Ray Gaddis","253",18,"1665","18","3","0","0","1","2","3","0","6","1","0","0","0","768","84%","11","24","29%","90","21","79","19","0.29","181","51%","64","20","45%","39","64","61","103"
"126",5,"Jakob Glesnes","253",20,"1728","18","2","2","1","0","0","4","0","9","3","0","0","0","811","85%","2","2","0","69","17","149","19","1.08","221","64%","49","76","64%","13","39","134","129"
"127",21,"Jonathan Osorio","253",19,"1675","18","3","1","1","2","2","2","0","18","9","0","0","0","1177","92%","8","7","14%","77","29","81","28","2.8","190","53%","84","18","44%","30","51","76","134"
"128",8,"Memo Rodriguez","253",21,"1682","20","15","1","5","2","5","5","0","53","18","0","0","0","660","81%","20","32","25%","134","12","46","16","5.1","243","40%","133","44","25%","38","69","52","86"
"129",24,"Nick Lima","253",23,"1912","22","9","1","2","2","0","3","0","23","9","0","0","0","1060","82%","21","63","19%","148","40","81","10","0.9","265","52%","105","57","60%","54","58","90","94"
"130",7,"Lewis Morgan","253",24,"2168","24","11","0","5","5","3","1","0","56","19","1","1","100%","944","67%","26","137","28%","232","20","53","23","4.1","291","41%","202","31","52%","97","49","49","117"
"131",20,"Wyatt Omsberg","253",5,"213","2","2","3","0","1","0","0","0","0","0","0","0","0","135","81%","1","0","0","10","3","13","0","0","29","76%","5","12","75%","1","3","18","15"
"132",22,"Mauricio Pineda","253",23,"2176","23","6","0","3","3","0","5","0","8","4","0","0","0","1233","91%","9","3","33%","81","30","171","23","1.83","212","62%","46","63","63%","25","51","139","129"
"133",15,"R. Schlegel","253",13,"770","7","0","6","0","0","0","4","0","1","0","0","0","0","415","87%","0","0","0","34","17","47","7","0.08","103","64%","14","38","58%","4","31","38","46"
"134",4,"Daniel John Wilson","252",10,"881","10","2","0","0","0","1","1","1","2","1","0","0","0","559","82%","3","2","0","62","17","67","8","0.16","116","68%","25","53","75%","5","21","62","38"
"135",6,"Dax McCarty","252",24,"2116","22","4","2","2","3","0","5","0","8","5","0","0","0","1255","89%","16","8","25%","101","30","158","45","0.44","296","52%","102","59","54%","26","97","141","167"
"136",20,"Oriol Rosell","252",14,"1137","14","9","0","0","0","0","2","0","3","0","0","0","0","711","93%","1","1","100%","46","17","67","23","0.1","149","59%","42","26","50%","8","47","56","90"
"137",4,"J. Villafaña","252",24,"2204","22","2","2","2","5","2","4","0","4","2","1","0","0","1111","81%","7","59","34%","140","35","147","19","0.61","264","54%","77","61","52%","24","82","136","140"
"138",12,"Gerso Fernandes","252",22,"1091","12","11","10","3","3","3","2","0","33","10","0","0","0","286","74%","19","44","25%","108","6","26","13","4","213","43%","156","19","11%","88","33","19","52"
"139",13,"Amadou Dia","252",14,"1098","11","3","3","0","1","1","4","0","1","0","0","0","0","574","78%","13","46","22%","79","19","94","19","0.03","168","61%","58","32","63%","35","28","82","61"
"140",5,"Jacori Hayes","252",16,"814","8","6","8","2","1","0","1","0","7","3","0","0","0","376","86%","8","1","0","53","13","37","7","1.52","132","58%","71","20","40%","20","34","39","49"
"141",15,"R. Espinoza","251",19,"1278","15","10","4","3","1","2","4","0","22","11","0","0","0","508","84%","5","12","33%","71","13","60","19","2.4","209","52%","90","56","66%","20","62","54","63"
"142",14,"Chinedum Onuoha","251",15,"1391","15","3","0","0","0","2","0","0","10","3","0","0","0","644","92%","3","1","0","34","16","99","10","2.6","168","62%","51","76","57%","9","29","88","87"
